volt, time
0.559, 1468260568.930358
0.552, 1468260568.932647
0.537, 1468260568.935943
0.547, 1468260568.938385
0.574, 1468260568.940582
0.569, 1468260568.943572
0.581, 1468260568.946777
0.581, 1468260568.949707
0.562, 1468260568.951324
0.549, 1468260568.952911
0.542, 1468260568.954437
0.542, 1468260568.956176
0.540, 1468260568.957763
0.535, 1468260568.959289
0.530, 1468260568.960815
0.535, 1468260568.962310
0.522, 1468260568.963836
0.532, 1468260568.967620
0.559, 1468260568.969909
0.554, 1468260568.972259
0.544, 1468260568.975524
0.542, 1468260568.977966
0.576, 1468260568.980377
0.544, 1468260568.982116
0.571, 1468260568.986267
0.574, 1468260568.989227
0.576, 1468260568.990905
0.552, 1468260568.992492
0.547, 1468260568.994049
0.549, 1468260568.995788
0.537, 1468260568.997375
0.535, 1468260568.998901
0.540, 1468260569.000427
0.535, 1468260569.002014
0.527, 1468260569.003540
0.527, 1468260569.005950
0.532, 1468260569.008880
0.532, 1468260569.011230
0.566, 1468260569.013549
0.544, 1468260569.016876
0.544, 1468260569.019256
0.530, 1468260569.021575
0.542, 1468260569.025360
0.588, 1468260569.028808
0.581, 1468260569.030487
0.562, 1468260569.032104
0.544, 1468260569.033660
0.542, 1468260569.035430
0.532, 1468260569.037048
0.532, 1468260569.038574
0.535, 1468260569.040100
0.530, 1468260569.041625
0.527, 1468260569.043121
0.532, 1468260569.046905
0.535, 1468260569.049987
0.542, 1468260569.052368
0.542, 1468260569.054718
0.542, 1468260569.058013
0.566, 1468260569.060363
0.544, 1468260569.062683
0.566, 1468260569.067047
0.574, 1468260569.071380
0.591, 1468260569.074157
0.566, 1468260569.076080
0.559, 1468260569.077697
0.544, 1468260569.079223
0.537, 1468260569.080749
0.535, 1468260569.082275
0.535, 1468260569.083801
0.554, 1468260569.088226
0.532, 1468260569.090576
0.540, 1468260569.092895
0.559, 1468260569.096130
0.566, 1468260569.098510
0.566, 1468260569.100860
0.562, 1468260569.104431
0.584, 1468260569.108123
0.571, 1468260569.109863
0.557, 1468260569.111450
0.554, 1468260569.113006
0.544, 1468260569.114532
0.542, 1468260569.116302
0.532, 1468260569.117858
0.532, 1468260569.119384
0.532, 1468260569.120941
0.525, 1468260569.122436
0.527, 1468260569.125549
